userId,UTag,TUTag,TagU,MonthU
65542,0.0009721,0.0139,0.002070,0.1083
65544,0.00005116,0.0044,0.00002588,0.1026
81928,0.00005116,0.0209,0.00002588,0.08426
32768,0.0001023,0.0003,0.00005175,0.09322
65536,0.0002558,0.0004,0.0001294,0.07249
65542,0.0009721,0.0139,0.002070,0.05858
65544,0.00005116,0.0044,0.00002588,0.1026
81928,0.00005116,0.0209,0.00002588,0.08426
32780,0.01422,0.0138,0.007556,0.07195
131085,0.00005116,0.0372,0.00002588,0.1026
131086,0.00005116,0.0003,0.00002588,0.09322
32785,0.002814,0.0146,0.002355,0.1026
18,0.00005116,0.0005,0.00002588,0.08426
98321,0.0001535,0.0068,0.00007763,0.07063
98323,0.002712,0.0114,0.0008539,0.1026
131091,0.00005116,0.0005,0.00002588,0.08876
16403,0.00005116,0.0005,0.00002588,0.1083
65559,0.00005116,0.0001,0.00002588,0.08340
16404,0.0006140,0.0319,0.0006728,0.09322
131100,0.00005116,0.0345,0.00002588,0.09322
49180,0.00005116,0.0365,0.00002588,0.08876
131102,0.0001023,0.0322,0.0001035,0.07249
49181,0.00005116,0.0703,0.0001035,0.09017
81949,0.00005116,0.0356,0.00002588,0.1026
114716,0.0001023,0.04,0.00007763,0.07195
114717,0.00005116,0.0208,0.00002588,0.07063
16417,0.00005116,0.0669,0.00002588,0.1026
114720,0.0007163,0.0242,0.0007246,0.1026
32805,0.0001023,0.0005,0.0001035,0.07195
81955,0.0002558,0.0342,0.0004399,0.07195
114721,0.00005116,0.0041,0.00002588,0.09017
114722,0.00005116,0.0181,0.00002588,0.05858
81959,0.00005116,0.0033,0.00002588,0.09322
65582,0.002149,0.0435,0.0008281,0.08426
49199,0.0007163,0.0096,0.0003623,0.07063
98353,0.0004093,0.0197,0.0004140,0.07249
131126,0.00005116,0.0005,0.00002588,0.07565
49208,0.0005116,0.0076,0.0004140,0.09322
98364,0.00005116,0.0143,0.0001811,0.07063
131134,0.00005116,0.0337,0.00007763,0.1026
49214,0.001074,0.0097,0.0004658,0.1026
65,0.001535,0.0147,0.0004917,0.1083
98370,0.00005116,0.0036,0.00002588,0.09322
131137,0.0008698,0.0171,0.0003105,0.09322
114758,0.0004093,0.0165,0.0004399,0.1026
49225,0.0002558,0.028,0.0003882,0.07063
