农业,01,"",""
谷物种植,"",011,""
稻谷种植,"","",0111
小麦种植,"","",0112
玉米种植,"","",0113
其他谷物种植,"","",0119
豆类、油料和薯类种植,"",012,""
豆类种植,"","",0121
油料种植,"","",0122
薯类种植,"","",0123
棉、麻、糖、烟草种植,"",013,""
棉花种植,"","",0131
麻类种植,"","",0132
糖料种植,"","",0133
烟草种植,"","",0134
蔬菜、食用菌及园艺作物种植,"",014,""
蔬菜种植,"","",0141
食用菌种植,"","",0142
花卉种植,"","",0143
其他园艺作物种植,"","",0149
水果种植,"",015,""
仁果类和核果类水果种植,"","",0151
葡萄种植,"","",0152
柑橘类种植,"","",0153
香蕉等亚热带水果种植,"","",0154
其他水果种植,"","",0159
坚果、含油果、香料和饮料作物种植,"",016,""
坚果种植,"","",0161
含油果种植,"","",0162
香料作物种植,"","",0163
茶及其他饮料作物种植,"","",0169
中药材种植,"",017,0170
其他农业,"",019,0190
林业,02,"",""
林木育种和育苗,"",021,""
林木育种,"","",0211
林木育苗,"","",0212
造林和更新,"",022,0220
森林经营和管护,"",023,0230
木材和竹材采运,"",024,""
木材采运,"","",0241
竹材采运,"","",0242
林产品采集,"",025,""
木竹材林产品采集,"","",0251
非木竹材林产品采集,"","",0252
畜牧业,03,"",""
牲畜饲养,"",031,""
牛的饲养,"","",0311
马的饲养,"","",0312
猪的饲养,"","",0313
羊的饲养,"","",0314
骆驼饲养,"","",0315
其他牲畜饲养,"","",0319
家禽饲养,"",032,""
鸡的饲养,"","",0321
鸭的饲养,"","",0322
鹅的饲养,"","",0323
其他家禽饲养,"","",0329
狩猎和捕捉动物,"",033,0330
其他畜牧业,"",039,0390
渔业,04,"",""
水产养殖,"",041,""
海水养殖,"","",0411
内陆养殖,"","",0412
水产捕捞,"",042,""
海水捕捞,"","",0421
内陆捕捞,"","",0422
农、林、牧、渔服务业,05,"",""
农业服务业,"",051,""
农业机械服务,"","",0511
灌溉服务,"","",0512
农产品初加工服务,"","",0513
其他农业服务,"","",0519
林业服务业,"",052,""
林业有害生物防治服务,"","",0521
森林防火服务,"","",0522
林产品初级加工服务,"","",0523
其他林业服务,"","",0529
畜牧服务业,"",053,0530
渔业服务业,"",054,0540
煤炭开采和洗选业,06,"",""
